295964805,6
674087380,
434330017,3
763227,18
610550690,34
501193747,35
523405048,40
710275039,7
277387617,
352932341,
493513100,1
813231615,2
409966346,4
114648340,8
437512689,13
5272689,14
776214156,15
27206461,17
1172861184,21
642445498,22
1241424377,25
290070744,26
290528767,27
178569706,28
15308403545,29
118146449,31
369545989,32
972102425,33
384526074,36
676596084,37
109368424,38
442172369,41
378777322,5
437088610,
307126079,11
33532767,20
93444965,
123082386,
1033578,
237385255,
1016150581,9
1205645845,10
121440150,16
244131566,19
894725902,23
634086977,24
2547788,30
584641574,39
805824493,42












